Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Saint-Georges-d'Orques 34680;  650
Saint-Germain-du-Puy 18390;  410
Saint-Germain-en-Laye 78100; 3 400
Saint-Germain-lès-Arpajon 91180; 1 060
Saint-Germain-lès-Corbeil 91250;  560
Saint-Gervais-les-Bains 74170;  460
Saint-Gilles 30800; 2 520
Saint-Gilles 35590;  410
Saint-Gilles-Croix-de-Vie 85800;  770
Saint-Girons 09200;  950
Saint-Gratien 95210; 2 330
Saint-Grégoire 35760;  710
Saint-Herblain 44800; 5 800
Saint-Hilaire-de-Riez 85270; 1 280
Saint-Hilaire-du-Harcouët 50600;  540
Saint-Ismier 38330;  390
Saint-Jacques-de-la-Lande 35136; 1 890
Saint-Jean 31240; 1 040
Saint-Jean-Bonnefonds 42650;  570
Saint-Jean-d'Angély 17400;  980
Saint-Jean-de-Boiseau 44640;  550
Saint-Jean-de-Braye 45800; 2 730
Saint-Jean-de-la-Ruelle 45140; 2 220
Saint-Jean-de-Luz 64500; 1 790
Saint-Jean-de-Maurienne 73300;  430
Saint-Jean-de-Monts 85160; 1 190
Saint-Jean-de-Védas 34430; 1 520
Saint-Jean-d'Illac 33127;  760
Saint-Jean-le-Blanc 45650;  920
Saint-Jorioz 74410;  470
Saint-Jory 31790; 1 290
Saint-Joseph 97212; 2 580
Saint-Joseph 97480; 10 380
Saint-Juéry 81160;  780
Saint-Julien-de-Concelles 44450;  570
Saint-Julien-en-Genevois 74160; 1 590
Saint-Julien-les-Villas 10800;  810
Saint-Junien 87200; 1 200
Saint-Just-en-Chaussée 60130;  760
Saint-Just-Saint-Rambert 42170; 1 040
Saint-Laurent-Blangy 62223;  830
Saint-Laurent-de-la-Salanque 66250; 1 510
Saint-Laurent-de-Mure 69720;  420
Saint-Laurent-du-Maroni 97320; 9 270
Saint-Laurent-du-Var 06700; 2 980
Saint-Laurent-Médoc 33112;  520
Saint-Leu 97436; 10 060
Saint-Leu-la-Forêt 95320; 1 330
Saint-Lô 50000; 2 340
Saint-Loubès 33450; 1 000
Saint-Louis 68300; 2 960
Saint-Louis 97434; 15 270
Saint-Lyphard 44410;  380
Saint-Lys 31470;  880
Saint-Macaire-en-Mauges 49450; 1 880
Saint-Maixent-l'École 79400;  730
Saint-Malo 35400; 5 210
Saint-Mandé 94160; 1 630
Saint-Mandrier-sur-Mer 83430;  530
Saint-Marcel 71380;  620
Saint-Marcel-lès-Valence 26320;  580
Saint-Marcellin 38160;  900
Saint-Marcellin-en-Forez 42680;  440
Saint-Mars-du-Désert 44850;  340
Saint-Martin-Boulogne 62280; 1 220
Saint-Martin-de-Crau 13310; 1 650
Saint-Martin-de-Seignanx 40390;  570
Saint-Martin-d'Hères 38400; 3 630
Saint-Martin-d'Uriage 38410;  320
Saint-Martin-la-Pallu 86380;  470
Saint-Martin-le-Vinoux 38950;  610
Saint-Martin-lez-Tatinghem 62500;  510
Saint-Maur-des-Fossés 94100; 5 960
Saint-Maurice 94410; 1 200
Saint-Maurice-l'Exil 38550;  660
Saint-Max 54130; 1 080
Saint-Maximin-la-Sainte-Baume 83470; 1 730
Saint-Médard-en-Jalles 33160; 2 570
Saint-Memmie 51470;  570
Saint-Michel-Chef-Chef 44730;  530
Saint-Michel-sur-Orge 91240; 2 170
Saint-Mitre-les-Remparts 13920;  560
Saint-Nazaire 44600; 9 050
Saint-Nicolas-de-Port 54210;  660
Saint-Nom-la-Bretèche 78860;  250
Saint-Omer 62500; 2 500
Saint-Orens-de-Gameville 31650; 1 390
Saint-Ouen 93400; 8 320
Saint-Ouen-l'Aumône 95310; 3 070
Saint-Pathus 77178;  440
Saint-Paul 97460; 25 940
Saint-Paul-lès-Dax 40990; 1 680
Saint-Paul-Trois-Châteaux 26130;  950
Saint-Pée-sur-Nivelle 64310;  690
Saint-Péray 07130;  620
Saint-Philbert-de-Grand-Lieu 44310;  680
Saint-Philippe 97442; 1 410
Saint-Pierre 97410; 22 490
Saint-Pierre-des-Corps 37700; 2 510
Saint-Pierre-d'Irube 64990;  530
Saint-Pierre-d'Oléron 17310;  850
Saint-Pierre-du-Mont 40280; 1 020
Saint-Pierre-du-Perray 91280;  970
Saint-Pierre-en-Auge 14170;  680
Saint-Pierre-en-Faucigny 74800;  680
Saint-Pierre-lès-Elbeuf 76320;  930
Saint-Pierre-lès-Nemours 77140;  440
Saint-Pol-de-Léon 29250;  710
Saint-Pol-sur-Ternoise 62130;  610
Saint-Pourçain-sur-Sioule 03500;  480
Saint-Priest 69800; 5 790
Saint-Priest-en-Jarez 42270;  470
Saint-Privat-des-Vieux 30340;  540
Saint-Prix 95390;  580
Saint-Pryvé-Saint-Mesmin 45750;  580
Saint-Quentin 02100; 8 840
Saint-Quentin-Fallavier 38070;  550
Saint-Rambert-d'Albon 26140;  840
Saint-Raphaël 83700; 4 180
Saint-Rémy 71100;  520
Saint-Rémy-de-Provence 13210;  990
Saint-Rémy-lès-Chevreuse 78470;  420
Saint-Renan 29290;  550
Saintry-sur-Seine 91250;  430
Saint-Saturnin-lès-Avignon 84450;  500
Saint-Saulve 59880; 1 320
Saint-Sébastien-de-Morsent 27180;  420
Saint-Sébastien-sur-Loire 44230; 2 530
Saint-Sever 40500;  540
Saint-Sulpice-la-Pointe 81370;  890
Saint-Symphorien-d'Ozon 69360;  440
Saint-Thibault-des-Vignes 77400;  620
Saint-Vallier 71230;  760
Saint-Victoret 13730;  670
Saint-Vincent-de-Tyrosse 40230;  960
Saint-Vit 25410;  410
Saint-Xandre 17138;  480
Saint-Yrieix-la-Perche 87500;  550
Saint-Yrieix-sur-Charente 16710;  690
Saint-Zacharie 83640;  440
Salazie 97433; 1 940
Salbris 41300;  420
Saleilles 66280;  560
Sallanches 74700; 1 220
Sallaumines 62430; 1 440
Salles 33770;  730
Salon-de-Provence 13300; 5 850
Sanary-sur-Mer 83110; 1 660
Sannois 95110; 3 020
Santes 59211;  380
Saran 45770; 1 890
Sarcelles 95200; 8 960
Sarlat-la-Canéda 24200; 1 160
Sarrebourg 57400; 1 480
Sarreguemines 57200; 2 830
Sarrians 84260;  700
Sartrouville 78500; 5 840
Sarzeau 56370;  690
Sassenage 38360;  860
Sathonay-Camp 69580;  560
Saujon 17600;  720
Saulx-les-Chartreux 91160;  520
Saumur 49400; 3 790
Sausheim 68390;  490
Sausset-les-Pins 13960;  570
Sautron 44880;  530
Sauvian 34410;  640
Savenay 44260;  710
Saverne 67700; 1 260
Savigny-le-Temple 77176; 3 450
Savigny-sur-Orge 91600; 3 530
Scaër 29390;  510
Sceaux 92330; 1 250
Schiltigheim 67300; 4 890
Schoelcher 97233; 2 760
Schweighouse-sur-Moder 67590;  410
Sciez 74140;  600
Scionzier 74950; 1 110
Seclin 59113; 1 610
Sedan 08200; 3 090
Segré 49500; 1 530
Seichamps 54280;  350
Sélestat 67600; 2 110
Seloncourt 25230;  720
Séméac 65600;  510
Sénas 13560;  820
Séné 56860;  870
Senlis 60300; 1 310
Sens 89100; 3 820
Septèmes-les-Vallons 13240; 1 200
Sérignan 34410; 1 290
Serris 77700;  990
Servian 34290;  690
Sète 34200; 6 560
Sevran 93270; 7 780
Sèvremont 85700;  530
Sèvres 92310; 1 860
Seysses 31600; 1 120
Seyssinet-Pariset 38170;  900
Seyssins 38180;  550
Sézanne 51120;  580
Sigean 11130;  810
Sillingy 74330;  390
Simiane-Collongue 13109;  440
Sin-le-Noble 59450; 2 280
Sisteron 04200;  940
Six-Fours-les-Plages 83140; 3 600
Soissons 02200; 4 400
Soisy-sous-Montmorency 95230; 1 630
Soisy-sur-Seine 91450;  520
Solliès-Pont 83210; 1 210
Solliès-Toucas 83210;  460
Somain 59490; 1 790
Sommières 30250;  770
Sorbiers 42290;  580
Sorgues 84700; 2 710
Sotteville-lès-Rouen 76300; 4 510
Souffelweyersheim 67460;  650
Souleuvre en Bocage 14350;  660
Soultz-Haut-Rhin 68360;  650
Souppes-sur-Loing 77460;  620
Soustons 40140;  960
Soyaux 16800; 1 460
Stains 93240; 6 180
Stiring-Wendel 57350; 1 510
Strasbourg 67000; 39 990
Sucé-sur-Erdre 44240;  500
Sucy-en-Brie 94370; 2 200
Sully-sur-Loire 45600;  670
Suresnes 92150; 4 230
Surgères 17700;  800
Sury-le-Comtal 42450;  700
Surzur 56450;  410
Tain-l'Hermitage 26600;  740
Talange 57525;  860
Talant 21240; 1 180
Talence 33400; 5 210
Talmont-Saint-Hilaire 85440;  850
Tarare 69170; 1 260
Tarascon 13150; 2 510
Tarbes 65000; 6 690
Tarnos 40220; 1 310
Tassin-la-Demi-Lune 69160; 1 860
Taverny 95150; 2 430
Templeuve 59242;  470
Tergnier 02700; 2 070
Ternay 69360;  460
Terrasson-Lavilledieu 24120;  800
Terville 57180;  710
Téteghem 59229;  610
Thann 68800;  900
Thaon-les-Vosges 88150; 1 020
Theix 56450;  700
Thiais 94320; 3 410
Thiers 63300; 1 840
Thionville 57100; 4 250
Thizy-les-Bourgs 69240;  570
Thoiry 01710;  390
Thônes 74230;  430
Thonon-les-Bains 74200; 4 640
Thorigné-Fouillard 35235;  650
Thorigny-sur-Marne 77400; 1 020
Thouaré-sur-Loire 44470;  810
Thouars 79100; 1 710
Thue et Mue 14740;  440
Thuir 66300; 1 460
Thyez 74300;  570
Tignieu-Jameyzieu 38230;  640
Tinchebray-Bocage 61800;  370
Tinqueux 51430;  870
Tomblaine 54510;  930
Tonnay-Charente 17430;  930
Tonneins 47400; 1 350
Torcy 77200; 2 650
Toul 54200; 2 110
Toulon 83000; 21 010
Toulouges 66350;  890
Toulouse 31000; 80 580
Tourcoing 59200; 16 200
Tournan-en-Brie 77220;  690
Tournefeuille 31170; 2 860
Tournon-sur-Rhône 07300; 1 390
Tournus 71700;  660
Tours 37000; 18 900
Tourves 83170;  540
Trans-en-Provence 83720;  710
Trappes 78190; 4 710
Trèbes 11800;  700
Trégueux 22950;  720
Trégunc 29910;  560
Treillières 44119;  710
Trélazé 49800; 2 100
Trélissac 24750;  660
Tremblay-en-France 93290; 4 820
Tresses 33370;  400
Trets 13530; 1 000
Trévoux 01600;  710
Triel-sur-Seine 78510; 1 040
Trignac 44570;  990
Trilport 77470;  450
Trith-Saint-Léger 59125;  760
Trois-Rivières 97114; 1 490
Troyes 10000; 9 680
Tulle 19000; 1 600
Tullins 38210;  790
Uckange 57270;  850
Ugine 73400;  620
Unieux 42240;  930
Urrugne 64122;  990
Ussel 19200;  770
Ustaritz 64480;  830
Uzès 30700; 1 040
Vaires-sur-Marne 77360; 1 160
Vaison-la-Romaine 84110;  720
Val d'Erdre-Auxence 49370;  360
Valbonne 06560; 1 080
Valdahon 25800;  380
Valdallière 14410;  470
Val-de-Moder 67350;  440
Val-de-Reuil 27100; 1 940
Valdoie 90300;  630
Valence 26000; 9 720
Valence 82400;  890
Valenciennes 59300; 7 340
Valentigney 25700; 1 600
Valenton 94460; 2 000
Vallauris 06220; 3 510
Vallet 44330;  720
Vallons-de-l'Erdre 44540;  580
Valognes 50700;  510
Valréas 84600; 1 170
Vandoeuvre-lès-Nancy 54500; 3 340
Vannes 56000; 6 040
Vanves 92170; 2 210
Varces-Allières-et-Risset 38760;  490
Varennes-Vauzelles 58640;  700
Vaucresson 92420;  530
Vaugneray 69670;  390
Vaujours 93410;  900
Vaulx-en-Velin 69120; 8 270
Vauréal 95490; 1 600
Vauvert 30600; 1 690
Vaux-le-Pénil 77000;  970
Vaux-sur-Seine 78740;  450
Veauche 42340;  610
Vedène 84270; 1 280
Veigné 37250;  500
Velaux 13880;  670
Vélizy-Villacoublay 78140; 1 640
Vence 06140; 1 610
Vendargues 34740;  770
Vendenheim 67550;  540
Vendin-le-Vieil 62880;  870
Vendôme 41100; 1 860
Venelles 13770;  590
Vénissieux 69200; 11 030
Ventabren 13122;  560
Verdun 55100; 2 350
Vergèze 30310;  570
Vernaison 69390;  410
Verneuil-sur-Avre 27130;  940
Verneuil-sur-Seine 78480; 1 450
Verneuil-sur-Vienne 87430;  200
Vernon 27200; 3 450
Vernouillet 28500; 1 640
Vernouillet 78540;  860
Vern-sur-Seiche 35770;  740
Verrières-en-Anjou 49480;  690
Verrières-le-Buisson 91370;  910
Versailles 78000; 5 810
Vertou 44120; 1 920
Vert-Saint-Denis 77240;  840
Vesoul 70000; 2 280
Vétraz-Monthoux 74100; 1 120
Vexin-sur-Epte 27630;  470
Vezin-le-Coquet 35132;  630
Viarmes 95270;  380
Vias 34450; 1 200
Vic-en-Bigorre 65500;  510
Vichy 03200; 3 570
Vic-le-Comte 63270;  410
Vidauban 83550; 1 530
Vienne 38200; 3 710
Vierzon 18100; 3 720
Vieux-Condé 59690; 1 340
Vieux-Habitants 97119; 1 570
Vif 38450;  570
Vigneux-de-Bretagne 44360;  410
Vigneux-sur-Seine 91270; 3 480
Villabé 91100;  540
Villard-Bonnot 38190;  570
Villars 42390;  660
Villars-les-Dombes 01330;  340
Villebon-sur-Yvette 91140;  690
Villecresnes 94440;  860
Ville-d'Avray 92410;  770
Villefontaine 38090; 2 690
Villefranche-de-Lauragais 31290;  480
Villefranche-de-Rouergue 12200; 1 240
Villefranche-sur-Mer 06230;  380
Villefranche-sur-Saône 69400; 5 120
Villejuif 94800; 7 320
Ville-la-Grand 74100; 1 090
Villemandeur 45700;  720
Villemoisson-sur-Orge 91360;  560
Villemomble 93250; 3 330
Villemur-sur-Tarn 31340;  690
Villenave-d'Ornon 33140; 4 910
Villeneuve-d'Ascq 59491; 7 410
Villeneuve-en-Retz 44580;  450
Villeneuve-la-Garenne 92390; 3 580
Villeneuve-le-Roi 94290; 2 290
Villeneuve-lès-Avignon 30400; 1 230
Villeneuve-lès-Maguelone 34750; 1 120
Villeneuve-Loubet 06270; 1 860
Villeneuve-Saint-Georges 94190; 4 510
Villeneuve-sur-Lot 47300; 3 430
Villeneuve-sur-Yonne 89500;  660
Villeneuve-Tolosane 31270; 1 190
Villennes-sur-Seine 78670;  470
Villenoy 77124;  490
Villeparisis 77270; 2 980
Villepinte 93420; 5 340
Villepreux 78450;  780
Villerest 42300;  370
Villers-Cotterêts 02600; 1 360
Villers-le-Lac 25130;  440
Villers-lès-Nancy 54600; 1 020
Villers-Saint-Paul 60870;  840
Villerupt 54190;  960
Villetaneuse 93430; 1 830
Villette-d'Anthon 38280;  280
Villeurbanne 69100; 21 470
Villiers-le-Bel 95400; 4 290
Villiers-sur-Marne 94350; 3 590
Vincennes 94300; 4 390
Vindry-sur-Turdine 69490;  350
Vineuil 41350;  630
Vire 14500; 1 720
Viriat 01440;  460
Viroflay 78220; 1 040
Viry 74580;  460
Viry-Châtillon 91170; 3 510
Vitré 35500; 1 920
Vitrolles 13127; 4 680
Vitry-le-François 51300; 1 710
Vitry-sur-Seine 94400; 11 630
Vittel 88800;  470
Vizille 38220;  640
Voiron 38500; 2 250
Voisins-le-Bretonneux 78960;  660
Voreppe 38340;  740
Vouneuil-sous-Biard 86580;  430
Wallers 59135;  630
Wambrechies 59118;  880
Wasquehal 59290; 1 900
Wasselonne 67310;  500
Wattignies 59139; 1 660
Wattrelos 59150; 5 700
Wavrin 59136;  630
Waziers 59119; 1 300
Wervicq-Sud 59117;  460
Wimereux 62930;  500
Wingles 62410; 1 090
Wintzenheim 68920;  640
Wissembourg 67160;  680
Wissous 91320;  510
Witry-lès-Reims 51420;  340
Wittelsheim 68310; 1 020
Wittenheim 68270; 1 590
Woippy 57140; 2 290
Wormhout 59470;  380
Yerres 91330; 2 060
Yffiniac 22120;  470
Yssingeaux 43200;  670
Yutz 57110; 1 730
Yvetot 76190; 1 170
Yzeure 03400; 1 070
Communes de moins de 5 000 habitants ou données indisponibles;2 081 750
Total;7 318 470
Les données présentées dans ce tableau sont arrondies à la dizaine. Pour cette raison, la somme des valeurs d’une ligne (ou d’une colonne) peut légèrement différer du total affiché.
