Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Brebières 62117;  480
Brech 56400;  580
Bressuire 79300; 1 820
Brest 29200; 17 800
Bretignolles-sur-Mer 85470;  460
Brétigny-sur-Orge 91220; 3 050
Breuillet 91650;  730
Briançon 05100; 1 440
Briare 45250;  540
Bricquebec-en-Cotentin 50260;  410
Briec 29510;  520
Brie-Comte-Robert 77170; 1 620
Briey 54150;  760
Brignais 69530; 1 020
Brignoles 83170; 2 560
Brindas 69126;  390
Brioude 43100;  840
Brissac Loire Aubance 49320;  920
Brive-la-Gaillarde 19100; 5 630
Bron 69500; 4 690
Brou-sur-Chantereine 77177;  560
Bruay-la-Buissière 62700; 3 240
Bruay-sur-l'Escaut 59860; 1 970
Bruges 33520; 2 140
Bruguières 31150;  730
Brumath 67170;  820
Brunoy 91800; 2 030
Brunstatt 68350;  690
Bruz 35170; 1 810
Bry-sur-Marne 94360; 1 410
Buc 78530;  330
Bully-les-Mines 62160; 1 520
Bures-sur-Yvette 91440;  550
Bussy-Saint-Georges 77600; 2 780
Buxerolles 86180; 1 050
Cabestany 66330; 1 150
Cabriès 13480;  720
Cachan 94230; 2 990
Cadaujac 33140;  590
Caen 14000; 15 410
Cagnes-sur-Mer 06800; 4 750
Cahors 46000; 2 880
Calais 62100; 11 120
Calonne-Ricouart 62470;  730
Caluire-et-Cuire 69300; 4 130
Calvi 20260;  860
Calvisson 30420;  710
Cambo-les-Bains 64250;  580
Cambrai 59400; 4 930
Cancale 35260;  490
Canéjan 33610;  430
Canet-en-Roussillon 66140; 2 120
Cannes 06400; 10 340
Canohès 66680;  710
Canteleu 76380; 2 240
Capbreton 40130; 1 360
Capesterre-Belle-Eau 97130; 3 590
Cappelle-la-Grande 59180;  890
Carbon-Blanc 33560;  880
Carbonne 31390;  720
Carcassonne 11000; 7 290
Carentan 50500;  830
Carhaix-Plouguer 29270;  760
Carmaux 81400; 1 470
Carnoux-en-Provence 13470;  580
Carpentras 84200; 5 120
Carquefou 44470; 1 540
Carqueiranne 83320;  790
Carrières-sous-Poissy 78955; 2 540
Carrières-sur-Seine 78420; 1 170
Carros 06510; 1 110
Carry-le-Rouet 13620;  470
Carvin 62220; 1 960
Cassis 13260;  620
Castanet-Tolosan 31320; 1 660
Castelginest 31780; 1 260
Castelnaudary 11400; 1 600
Castelnau-d'Estrétefonds 31620;  640
Castelnau-le-Lez 34170; 3 500
Castelsarrasin 82100; 2 090
Castres 81100; 5 580
Castries 34160;  660
Caudan 56850;  550
Caudebec-lès-Elbeuf 76320; 1 600
Caudry 59540; 2 510
Caumont-sur-Durance 84510;  750
Caussade 82300; 1 010
Cavaillon 84300; 4 580
Cavalaire-sur-Mer 83240;  980
Cayenne 97300; 10 080
Cazouls-lès-Béziers 34370;  630
Cébazat 63118;  680
Cenon 33150; 4 210
Céret 66400; 1 250
Cergy 95000; 9 710
Cernay 68700; 1 190
Cesson 77240;  870
Cesson-Sévigné 35510; 1 680
Cessy 01170;  430
Cestas 33610; 1 090
Ceyrat 63122;  450
Chabeuil 26120;  640
Chagny 71150;  530
Châlette-sur-Loing 45120; 2 150
Challans 85300; 2 130
Challes-les-Eaux 73190;  460
Chalonnes-sur-Loire 49290;  550
Châlons-en-Champagne 51000; 5 600
Chalon-sur-Saône 71100; 6 280
Chamalières 63400; 1 600
Chambéry 73000; 7 340
Chambly 60230;  900
Chambourcy 78240;  430
Chambray-lès-Tours 37170; 1 300
Chamonix-Mont-Blanc 74400;  750
Champagne-au-Mont-d'Or 69410;  560
Champagne-sur-Oise 95660;  410
Champagne-sur-Seine 77430;  810
Champagnole 39300;  650
Champigneulles 54250;  770
Champigny-sur-Marne 94500; 10 260
Champniers 16430;  390
Champs-sur-Marne 77420; 2 590
Changé 53810;  390
Changé 72560;  470
Chanteloup-les-Vignes 78570; 1 300
Chantepie 35135; 1 190
Chantilly 60500;  900
Chantonnay 85110;  810
Chanverrie 85130;  390
Chaponost 69630;  620
Charbonnières-les-Bains 69260;  380
Charenton-le-Pont 94220; 2 650
Charleville-Mézières 08000; 7 830
Charnay-lès-Mâcon 71850;  720
Chartres 28000; 5 020
Chartres-de-Bretagne 35131;  940
Charvieu-Chavagneux 38230;  900
Chasse-sur-Rhône 38670;  630
Chassieu 69680;  830
Château-Arnoux-Saint-Auban 04160;  620
Châteaubourg 35220;  580
Châteaubriant 44110; 1 260
Châteaudun 28200; 1 650
Châteaugiron 35410;  740
Château-Gontier 53200; 1 390
Châteaulin 29150;  510
Châteauneuf-les-Martigues 13220; 1 910
Châteauneuf-sur-Loire 45110;  740
Châteaurenard 13160; 2 230
Château-Renault 37110;  570
Châteauroux 36000; 5 600
Château-Thierry 02400; 2 460
Châtelaillon-Plage 17340;  600
Châtel-Guyon 63140;  540
Châtellerault 86100; 4 870
Châtenay-Malabry 92290; 3 000
Châtenoy-le-Royal 71880;  640
Châtillon 92320; 3 040
Châtillon-sur-Chalaronne 01400;  400
Châtillon-sur-Seine 21400;  640
Chatou 78400; 2 300
Chatuzange-le-Goubet 26300;  560
Chaumes-en-Retz 44320;  630
Chaumont 52000; 2 250
Chauny 02300; 1 780
Chauray 79180;  580
Chauvigny 86300;  660
Chavanoz 38230;  490
Chaville 92370; 1 590
Chazelles-sur-Lyon 42140;  460
Chécy 45430;  710
Chelles 77500; 5 790
Chemillé-Melay 49120; 1 650
Chennevières-sur-Marne 94430; 2 010
Chenôve 21300; 2 140
Cherbourg-Octeville 50100; 7 470
Chessy 77700;  780
Chevigny-Saint-Sauveur 21800;  900
Chevilly-Larue 94550; 2 280
Chevreuse 78460;  340
Chilly-Mazarin 91380; 2 100
Chinon 37500; 1 010
Choisy-le-Roi 94600; 5 700
Cholet 49300; 5 820
Ciboure 64500;  750
Cilaos 97413; 1 620
Claix 38640;  560
Clamart 92140; 4 970
Clapiers 34830;  480
Claye-Souilly 77410; 1 060
Cléon 76410;  710
Clermont 60600; 1 180
Clermont-Ferrand 63000; 17 800
Clermont-l'Hérault 34800; 1 580
Clichy 92110; 7 480
Clichy-sous-Bois 93390; 4 240
Clisson 44190;  630
Cloyes-les-Trois-Rivières 28220;  400
Cluny 71250;  380
Cluses 74300; 2 310
Cognac 16100; 2 440
Cognin 73160;  680
Cogolin 83310; 2 060
Colmar 68000; 8 010
Colombelles 14460; 1 070
Colombes 92700; 10 190
Colomiers 31770; 4 620
Combourg 35270;  500
Combs-la-Ville 77380; 2 330
Comines 59560; 1 190
Commentry 03600;  780
Commercy 55200;  830
Compiègne 60200; 4 930
Concarneau 29900; 2 070
Conches-en-Ouche 27190;  570
Condat-sur-Vienne 87920;  400
Condé-sur-l'Escaut 59163; 1 580
Condé-sur-Noireau 14110;  590
Condom 32100;  890
Conflans-Sainte-Honorine 78700; 3 350
Contes 06390;  570
Corbas 69960;  950
Corbeil-Essonnes 91100; 7 380
